name,description,username,public_metrics,verified,created_at,entities,id
DHd,Digital Humanities im deutschsprachigen Raum e.V. (DHd)/ Association Digital Humanities in German Speaking Countries; hier twittern @s_kronenwett ^sk & @uwuttke,DHdInfo,"{'followers_count': 4147, 'following_count': 826, 'tweet_count': 5579, 'listed_count': 95}",False,2012-03-22T13:58:23.000Z,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/22eW5LMv4E', 'expanded_url': 'http://dig-hum.de', 'display_url': 'dig-hum.de'}]}, 'description': {'mentions': [{'start': 132, 'end': 145, 'username': 's_kronenwett'}, {'start': 152, 'end': 160, 'username': 'uwuttke'}]}}",533163305
K. White,"This bot, created in April 2018, automatically retweets digital humanities content. A real, digital librarian tweets occasionally. Profile pic by TheArtgrrl.",DigtalHumanatee,"{'followers_count': 1168, 'following_count': 53, 'tweet_count': 70864, 'listed_count': 17}",False,2018-04-21T15:18:07.000Z,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/TDYzHBmbfe', 'expanded_url': 'https://www.deviantart.com/theartgrrl/art/Manatee-Mermaid-684352461', 'display_url': 'deviantart.com/theartgrrl/art…'}]}}",987712090071814144
Darmstadt-Bot,"Darmstadt is where the heart is.
(Und nur keine Hemmungen - wir kennen die Witze mit dem Ortsnamen alle schon.)",DarmstadtBot,"{'followers_count': 201, 'following_count': 0, 'tweet_count': 28324, 'listed_count': 1}",False,2022-01-03T15:28:15.000Z,,1478025287245967365
KWunsch,Heidelberg based PhD-student. Digital History. George Anson's Circumnavigation. TEI | Web development | works @ ZEiD Darmstadt |co-host @Infoditex |views my own,KWunsch2,"{'followers_count': 492, 'following_count': 1165, 'tweet_count': 1302, 'listed_count': 7}",False,2019-01-16T07:36:05.000Z,"{'description': {'mentions': [{'start': 136, 'end': 146, 'username': 'Infoditex'}]}}",1085440538726281217
NFDI4Culture,Consortium for research data on material and immaterial cultural heritage,nfdi4culture,"{'followers_count': 2429, 'following_count': 393, 'tweet_count': 1305, 'listed_count': 55}",False,2018-11-26T09:44:51.000Z,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/wC2j2RFWE0', 'expanded_url': 'https://nfdi4culture.de', 'display_url': 'nfdi4culture.de'}]}}",1066991160533635072
Public Humanities in den Digital Humanities,Wissenschaftskommunikation in den Digital Humanities wird hier betwittert von @msiemund & @m_k_schumacher Find our blog 👇🏻,PHintheDH,"{'followers_count': 320, 'following_count': 206, 'tweet_count': 173, 'listed_count': 8}",False,2021-03-10T13:39:28.000Z,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Ur43a0cod6', 'expanded_url': 'http://publicdh.hypotheses.org', 'display_url': 'publicdh.hypotheses.org'}]}, 'description': {'mentions': [{'start': 78, 'end': 87, 'username': 'msiemund'}, {'start': 90, 'end': 105, 'username': 'm_k_schumacher'}]}}",1369644043416789001
Melanie Seltmann,"#DH, #LIS, #Linguistik #Annotationsnerd #Liebesbriefe & mehr | MA @ULB_DA @LBriefarchiv @Textplus_NFDI | 2Studium @IBI_HU | Team @InFoDiTex | Hrsg. @PHintheDH",msiemund,"{'followers_count': 1216, 'following_count': 2094, 'tweet_count': 19897, 'listed_count': 85}",False,2009-07-29T08:03:30.000Z,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/a3xTBYXvYu', 'expanded_url': 'http://linguence.de', 'display_url': 'linguence.de'}]}, 'description': {'hashtags': [{'start': 0, 'end': 3, 'tag': 'DH'}, {'start': 5, 'end': 9, 'tag': 'LIS'}, {'start': 11, 'end': 22, 'tag': 'Linguistik'}, {'start': 23, 'end': 39, 'tag': 'Annotationsnerd'}, {'start': 40, 'end': 53, 'tag': 'Liebesbriefe'}], 'mentions': [{'start': 66, 'end': 73, 'username': 'ULB_DA'}, {'start': 74, 'end': 87, 'username': 'LBriefarchiv'}, {'start': 88, 'end': 102, 'username': 'Textplus_NFDI'}, {'start': 114, 'end': 121, 'username': 'IBI_HU'}, {'start': 129, 'end': 139, 'username': 'InFoDiTex'}, {'start': 148, 'end': 158, 'username': 'PHintheDH'}]}}",61145089
Luca Giovannini,PhD student @UniPotsdam | Computational Literary Criticism & Comparative Literature | alumnus @unito @unicologne @warwickuni,LucaGiovannini_,"{'followers_count': 32, 'following_count': 52, 'tweet_count': 7, 'listed_count': 0}",False,2021-11-21T13:21:13.000Z,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/EkzWCAsKww', 'expanded_url': 'http://lucagiovannini7.github.io', 'display_url': 'lucagiovannini7.github.io'}]}, 'description': {'mentions': [{'start': 12, 'end': 23, 'username': 'UniPotsdam'}, {'start': 94, 'end': 100, 'username': 'unito'}, {'start': 101, 'end': 112, 'username': 'unicologne'}, {'start': 113, 'end': 124, 'username': 'warwickuni'}]}}",1462410693471354883
OpenSci Talk,"Community broadcaster bot, multilingual sibling of @OpenSci_News

Use #OpenScience or #OpenSciTalk for RTs.
(Human: @dipanshunagar)",OpenSciTalk,"{'followers_count': 3706, 'following_count': 1, 'tweet_count': 122008, 'listed_count': 52}",False,2020-04-20T19:09:18.000Z,"{'description': {'hashtags': [{'start': 70, 'end': 82, 'tag': 'OpenScience'}, {'start': 86, 'end': 98, 'tag': 'OpenSciTalk'}], 'mentions': [{'start': 51, 'end': 64, 'username': 'OpenSci_News'}, {'start': 116, 'end': 130, 'username': 'dipanshunagar'}]}}",1252313225011449856
Ulrike Wuttke 🇺🇦,"Interim Professor at University of Applied Sciences Potsdam |
Digital Humanities | Open Science | Library and Information Science | Research Data Management",UWuttke,"{'followers_count': 1763, 'following_count': 1005, 'tweet_count': 9183, 'listed_count': 85}",False,2013-05-11T17:31:09.000Z,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/vGoFWbYG4j', 'expanded_url': 'http://ulrikewuttke.wordpress.com/', 'display_url': 'ulrikewuttke.wordpress.com'}]}}",1421172834
